run_id,type,final_t,final_nS,final_nR,max_nS,max_nR,total_steps,eradicated,resistance,mean_k2,total_kl_cost
110,uncontrolled,4.41794,0,0,50,1,99,1,0,1.5,0.0
111,uncontrolled,39.99983,0,17258,50,17258,37841,0,1,1.5,0.0
112,uncontrolled,39.99997,0,19117,53,19117,42771,0,1,1.5,0.0
113,uncontrolled,39.99995,0,37511,50,37512,83199,0,1,1.5,0.0
114,uncontrolled,8.63237,0,0,50,1,165,1,0,1.5,0.0
115,uncontrolled,39.99998,0,78314,50,78314,172118,0,1,1.5,0.0
116,uncontrolled,39.9995,0,2709,51,2709,6188,0,1,1.5,0.0
117,uncontrolled,39.9999,0,28235,50,28235,61804,0,1,1.5,0.0
118,uncontrolled,5.96037,0,0,50,1,171,1,0,1.5,0.0
119,uncontrolled,39.99081,0,180,53,181,647,0,1,1.5,0.0
120,uncontrolled,39.99915,0,8428,54,8429,18621,0,1,1.5,0.0
121,uncontrolled,39.99994,0,26173,52,26173,57430,0,1,1.5,0.0
122,uncontrolled,39.99995,0,15047,50,15048,33618,0,1,1.5,0.0
123,uncontrolled,39.99978,0,9192,50,9192,20276,0,1,1.5,0.0
124,uncontrolled,39.99997,0,27239,52,27239,60291,0,1,1.5,0.0
125,uncontrolled,4.0937,0,0,53,1,163,1,0,1.5,0.0
126,uncontrolled,39.99992,0,60035,50,60036,131408,0,1,1.5,0.0
127,uncontrolled,5.7501,0,0,52,3,219,1,0,1.5,0.0
128,uncontrolled,39.99997,0,151172,50,151172,331963,0,1,1.5,0.0
129,uncontrolled,39.99979,0,3021,50,3022,6608,0,1,1.5,0.0
130,uncontrolled,6.84611,0,0,50,3,121,1,0,1.5,0.0
131,uncontrolled,39.99997,0,36058,51,36058,79307,0,1,1.5,0.0
132,uncontrolled,3.86729,0,0,51,1,127,1,0,1.5,0.0
133,uncontrolled,39.99999,0,33330,55,33330,72847,0,1,1.5,0.0
134,uncontrolled,39.99989,0,7797,50,7797,17492,0,1,1.5,0.0
135,uncontrolled,39.99999,0,12254,50,12254,26862,0,1,1.5,0.0
136,uncontrolled,3.8305,0,0,50,1,147,1,0,1.5,0.0
137,uncontrolled,39.99954,0,4851,51,4859,10676,0,1,1.5,0.0
138,uncontrolled,5.96356,0,0,51,1,163,1,0,1.5,0.0
139,uncontrolled,6.27288,0,0,51,2,169,1,0,1.5,0.0
140,uncontrolled,39.99988,0,4138,56,4139,9392,0,1,1.5,0.0
141,uncontrolled,4.68684,0,0,51,1,109,1,0,1.5,0.0
142,uncontrolled,39.99999,0,7504,51,7506,16453,0,1,1.5,0.0
143,uncontrolled,8.99407,0,0,52,3,187,1,0,1.5,0.0
144,uncontrolled,39.99993,0,25025,50,25025,54980,0,1,1.5,0.0
145,uncontrolled,39.99999,0,73590,50,73590,162398,0,1,1.5,0.0
146,uncontrolled,39.99967,0,5937,50,5937,13071,0,1,1.5,0.0
147,uncontrolled,5.14642,0,0,50,1,171,1,0,1.5,0.0
148,uncontrolled,39.99989,0,8543,50,8544,19002,0,1,1.5,0.0
149,uncontrolled,5.05199,0,0,50,1,141,1,0,1.5,0.0
150,uncontrolled,5.35182,0,0,53,3,195,1,0,1.5,0.0
151,uncontrolled,39.99935,0,9769,50,9770,21703,0,1,1.5,0.0
152,uncontrolled,39.99978,0,23692,50,23695,52519,0,1,1.5,0.0
153,uncontrolled,4.62225,0,0,52,1,211,1,0,1.5,0.0
154,uncontrolled,39.99998,0,43539,50,43539,95664,0,1,1.5,0.0
155,uncontrolled,18.21072,0,0,50,2,148,1,0,1.5,0.0
156,uncontrolled,39.99991,0,18807,51,18808,41551,0,1,1.5,0.0
157,uncontrolled,40.0,0,77113,51,77115,169854,0,1,1.5,0.0
158,uncontrolled,40.0,0,81217,50,81218,179200,0,1,1.5,0.0
159,uncontrolled,5.87196,0,0,50,1,199,1,0,1.5,0.0
160,uncontrolled,5.87355,0,0,50,1,125,1,0,1.5,0.0
161,uncontrolled,39.99999,0,3240,50,3240,7531,0,1,1.5,0.0
162,uncontrolled,39.99981,0,11872,51,11872,26003,0,1,1.5,0.0
163,uncontrolled,39.99993,0,19314,57,19314,43032,0,1,1.5,0.0
164,uncontrolled,39.99995,0,2687,50,2687,5814,0,1,1.5,0.0
165,uncontrolled,40.0,0,78281,50,78282,172540,0,1,1.5,0.0
166,uncontrolled,39.99999,0,15196,50,15198,33615,0,1,1.5,0.0
167,uncontrolled,39.99998,0,154937,53,154937,340530,0,1,1.5,0.0
168,uncontrolled,39.99971,0,6623,50,6623,14614,0,1,1.5,0.0
169,uncontrolled,39.99896,0,4326,51,4326,9749,0,1,1.5,0.0
170,uncontrolled,11.64733,0,0,50,4,151,1,0,1.5,0.0
171,uncontrolled,39.99997,0,94239,51,94240,206656,0,1,1.5,0.0
172,uncontrolled,39.99986,0,31046,50,31047,68305,0,1,1.5,0.0
173,uncontrolled,6.48551,0,0,50,1,167,1,0,1.5,0.0
174,uncontrolled,39.99999,0,46327,50,46329,101811,0,1,1.5,0.0
175,uncontrolled,39.99975,0,8926,51,8926,19519,0,1,1.5,0.0
176,uncontrolled,4.78877,0,0,50,2,177,1,0,1.5,0.0
177,uncontrolled,5.84875,0,0,50,1,145,1,0,1.5,0.0
178,uncontrolled,4.71574,0,0,50,1,147,1,0,1.5,0.0
179,uncontrolled,39.99988,0,23689,50,23689,52974,0,1,1.5,0.0
180,uncontrolled,39.99845,0,3023,50,3025,6660,0,1,1.5,0.0
181,uncontrolled,6.11997,0,0,52,4,126,1,0,1.5,0.0
182,uncontrolled,39.99999,0,43020,50,43021,93725,0,1,1.5,0.0
183,uncontrolled,39.99544,0,1755,50,1755,4154,0,1,1.5,0.0
184,uncontrolled,3.93457,0,0,50,1,165,1,0,1.5,0.0
185,uncontrolled,39.99997,0,23341,54,23341,51902,0,1,1.5,0.0
186,uncontrolled,40.0,0,63314,50,63314,139363,0,1,1.5,0.0
187,uncontrolled,10.95624,0,0,50,1,105,1,0,1.5,0.0
188,uncontrolled,39.98978,0,1295,52,1297,3166,0,1,1.5,0.0
189,uncontrolled,39.99703,0,1318,52,1318,3285,0,1,1.5,0.0
190,uncontrolled,39.99973,0,5867,50,5868,13564,0,1,1.5,0.0
191,uncontrolled,4.01033,0,0,50,1,169,1,0,1.5,0.0
192,uncontrolled,39.99926,0,1582,52,1582,3735,0,1,1.5,0.0
193,uncontrolled,39.99997,0,19370,50,19370,43327,0,1,1.5,0.0
194,uncontrolled,7.09539,0,0,51,1,169,1,0,1.5,0.0
195,uncontrolled,5.38899,0,0,53,1,175,1,0,1.5,0.0
196,uncontrolled,4.77235,0,0,50,1,175,1,0,1.5,0.0
197,uncontrolled,39.99995,0,19282,54,19282,42478,0,1,1.5,0.0
198,uncontrolled,4.87232,0,0,52,1,157,1,0,1.5,0.0
199,uncontrolled,39.99999,0,148955,50,148955,328382,0,1,1.5,0.0
200,uncontrolled,39.99994,0,45240,50,45240,99003,0,1,1.5,0.0
201,uncontrolled,39.99982,0,14418,62,14419,31447,0,1,1.5,0.0
202,uncontrolled,39.99997,0,96700,52,96700,214362,0,1,1.5,0.0
203,uncontrolled,4.58329,0,0,51,1,169,1,0,1.5,0.0
204,uncontrolled,39.99989,0,8509,50,8509,18933,0,1,1.5,0.0
205,uncontrolled,39.99791,0,1719,50,1720,4132,0,1,1.5,0.0
206,uncontrolled,3.4896,0,0,50,1,139,1,0,1.5,0.0
207,uncontrolled,39.99998,0,16822,50,16822,38125,0,1,1.5,0.0
208,uncontrolled,39.99994,0,44010,50,44011,97661,0,1,1.5,0.0
209,uncontrolled,39.99971,0,8984,53,8985,20210,0,1,1.5,0.0
210,uncontrolled,39.99886,0,3422,50,3422,7650,0,1,1.5,0.0
211,uncontrolled,39.99992,0,38151,50,38151,83388,0,1,1.5,0.0
212,uncontrolled,39.99999,0,72903,50,72903,158912,0,1,1.5,0.0
213,uncontrolled,3.18473,0,0,51,1,127,1,0,1.5,0.0
214,uncontrolled,39.99969,0,17015,54,17015,38129,0,1,1.5,0.0
215,uncontrolled,40.0,0,45959,51,45961,101362,0,1,1.5,0.0
216,uncontrolled,39.99974,0,13839,50,13840,31061,0,1,1.5,0.0
217,uncontrolled,5.37936,0,0,50,1,147,1,0,1.5,0.0
218,uncontrolled,40.0,0,241983,51,241983,532832,0,1,1.5,0.0
219,uncontrolled,39.99997,0,26180,55,26181,58749,0,1,1.5,0.0
220,uncontrolled,8.03657,0,0,50,3,119,1,0,1.5,0.0
221,uncontrolled,39.99995,0,63795,50,63795,140226,0,1,1.5,0.0
222,uncontrolled,4.63455,0,0,50,1,153,1,0,1.5,0.0
223,uncontrolled,40.0,0,103954,52,103954,227893,0,1,1.5,0.0
224,uncontrolled,6.6632,0,0,50,1,140,1,0,1.5,0.0
225,uncontrolled,4.70266,0,0,52,1,159,1,0,1.5,0.0
226,uncontrolled,39.99386,0,975,51,975,2306,0,1,1.5,0.0
227,uncontrolled,39.99998,0,48483,51,48483,106693,0,1,1.5,0.0
228,uncontrolled,4.22848,0,0,50,1,123,1,0,1.5,0.0
229,uncontrolled,15.34605,0,0,51,1,245,1,0,1.5,0.0
230,uncontrolled,39.99998,0,21166,50,21166,46549,0,1,1.5,0.0
231,uncontrolled,39.99996,0,60885,55,60886,134648,0,1,1.5,0.0
232,uncontrolled,39.99979,0,9613,52,9614,21464,0,1,1.5,0.0
233,uncontrolled,39.99999,0,195524,52,195525,432393,0,1,1.5,0.0
234,uncontrolled,39.99963,0,9347,52,9347,21384,0,1,1.5,0.0
235,uncontrolled,9.9804,0,0,50,2,163,1,0,1.5,0.0
236,uncontrolled,4.15866,0,0,52,1,135,1,0,1.5,0.0
237,uncontrolled,39.99997,0,67275,52,67276,149212,0,1,1.5,0.0
238,uncontrolled,5.09747,0,0,50,1,229,1,0,1.5,0.0
239,uncontrolled,6.58129,0,0,50,1,153,1,0,1.5,0.0
240,uncontrolled,39.99994,0,24736,50,24737,55261,0,1,1.5,0.0
241,uncontrolled,7.73764,0,0,51,2,157,1,0,1.5,0.0
242,uncontrolled,39.99974,0,3588,51,3588,7879,0,1,1.5,0.0
243,uncontrolled,39.99987,0,7968,51,7970,17911,0,1,1.5,0.0
244,uncontrolled,3.73577,0,0,50,1,138,1,0,1.5,0.0
245,uncontrolled,39.99994,0,77273,50,77273,169881,0,1,1.5,0.0
246,uncontrolled,4.96387,0,0,53,3,157,1,0,1.5,0.0
247,uncontrolled,39.99997,0,85445,56,85445,187404,0,1,1.5,0.0
248,uncontrolled,39.99993,0,5617,50,5619,12478,0,1,1.5,0.0
249,uncontrolled,8.89488,0,0,50,1,175,1,0,1.5,0.0
250,uncontrolled,7.28067,0,0,51,1,129,1,0,1.5,0.0
251,uncontrolled,39.99999,0,85152,51,85152,184477,0,1,1.5,0.0
252,uncontrolled,39.99997,0,5456,50,5457,12096,0,1,1.5,0.0
253,uncontrolled,39.99928,0,7324,53,7325,16205,0,1,1.5,0.0
254,uncontrolled,3.41976,0,0,50,1,134,1,0,1.5,0.0
255,uncontrolled,3.75155,0,0,50,1,127,1,0,1.5,0.0
256,uncontrolled,39.99999,0,52058,50,52058,114245,0,1,1.5,0.0
257,uncontrolled,39.99998,0,59769,50,59769,130636,0,1,1.5,0.0
258,uncontrolled,39.99964,0,14167,51,14169,31562,0,1,1.5,0.0
259,uncontrolled,10.4416,0,0,50,3,217,1,0,1.5,0.0
260,uncontrolled,40.0,0,30819,51,30822,67494,0,1,1.5,0.0
261,uncontrolled,39.99989,0,19481,50,19481,42712,0,1,1.5,0.0
262,uncontrolled,39.99993,0,18853,51,18854,40522,0,1,1.5,0.0
263,uncontrolled,39.99901,0,1411,50,1412,3271,0,1,1.5,0.0
264,uncontrolled,39.99915,0,13836,51,13836,30943,0,1,1.5,0.0
265,uncontrolled,39.99997,0,44217,50,44218,96998,0,1,1.5,0.0
266,uncontrolled,4.09695,0,0,50,2,197,1,0,1.5,0.0
267,uncontrolled,39.99991,0,10124,52,10124,22649,0,1,1.5,0.0
268,uncontrolled,39.99999,0,41666,51,41666,92037,0,1,1.5,0.0
269,uncontrolled,4.49523,0,0,50,1,119,1,0,1.5,0.0
270,uncontrolled,40.0,0,50235,51,50235,109985,0,1,1.5,0.0
271,uncontrolled,5.23592,0,0,50,1,221,1,0,1.5,0.0
272,uncontrolled,5.92738,0,0,50,1,199,1,0,1.5,0.0
273,uncontrolled,40.0,0,24703,50,24703,54459,0,1,1.5,0.0
274,uncontrolled,39.99999,0,26689,50,26689,59446,0,1,1.5,0.0
275,uncontrolled,4.88831,0,0,52,2,146,1,0,1.5,0.0
276,uncontrolled,39.99923,0,5215,50,5215,11882,0,1,1.5,0.0
277,uncontrolled,39.99835,0,3282,51,3282,7233,0,1,1.5,0.0
278,uncontrolled,5.92261,0,0,56,1,229,1,0,1.5,0.0
279,uncontrolled,5.19031,0,0,51,2,190,1,0,1.5,0.0
280,uncontrolled,39.99998,0,79754,50,79754,175148,0,1,1.5,0.0
281,uncontrolled,39.99999,0,60606,52,60612,132119,0,1,1.5,0.0
282,uncontrolled,6.03513,0,0,51,1,147,1,0,1.5,0.0
283,uncontrolled,39.99999,0,45663,52,45663,100622,0,1,1.5,0.0
284,uncontrolled,39.99986,0,13609,50,13609,30832,0,1,1.5,0.0
